"time","height","velocity","der(height)","der(velocity)"
1.16,3.399831999998181,11.3796,-11.3796,9.81
1.18,3.170277999998178,11.5758,-11.5758,9.81
1.2,2.936799999998176,11.772,-11.772,9.81
1.22,2.699397999998177,11.9682,-11.9682,9.81
1.24,2.458071999998173,12.1644,-12.1644,9.81
1.26,2.21282199999817,12.3606,-12.3606,9.81
1.28,1.963647999998164,12.5568,-12.5568,9.81
1.3,1.710549999998161,12.753,-12.753,9.81
1.32,1.453527999998158,12.9492,-12.9492,9.81
1.34,1.192581999998151,13.1454,-13.1454,9.81
1.36,0.9277119999981485,13.3416,-13.3416,9.81
1.38,0.658917999998148,13.5378,-13.5378,9.81
1.4,0.3861999999981452,13.734,-13.734,9.81
1.42,0.1095579999981389,13.9302,-13.9302,9.81
1.44,-0.1710080000018634,14.1264,-14.1264,9.81
1.46,-0.4554980000018662,14.3226,-14.3226,9.81
1.48,-0.7439120000018689,14.5188,-14.5188,9.81
1.5,-1.036250000001871,14.715,-14.715,9.81
1.52,-1.332512000001874,14.9112,-14.9112,9.81
1.54,-1.63269800000188,15.1074,-15.1074,9.81
1.56,-1.936808000001882,15.3036,-15.3036,9.81
1.58,-2.244842000001885,15.4998,-15.4998,9.81
1.6,-2.556800000001889,15.696,-15.696,9.81
1.62,-2.872682000001891,15.8922,-15.8922,9.81
1.64,-3.192488000001892,16.0884,-16.0884,9.81
1.66,-3.516218000001894,16.2846,-16.2846,9.81
1.68,-3.843872000001898,16.4808,-16.4808,9.81
1.7,-4.1754500000019,16.677,-16.677,9.81
1.72,-4.510952000001902,16.8732,-16.8732,9.81
1.74,-4.850378000001906,17.0694,-17.0694,9.81
1.76,-5.193728000001908,17.2656,-17.2656,9.81
1.78,-5.541002000001914,17.4618,-17.4618,9.81
1.8,-5.892200000001916,17.658,-17.658,9.81
1.82,-6.247322000001918,17.8542,-17.8542,9.81
1.84,-6.60636800000192,18.0504,-18.0504,9.81
1.86,-6.969338000001922,18.2466,-18.2466,9.81
1.88,-7.336232000001921,18.4428,-18.4428,9.81
1.9,-7.707050000001923,18.639,-18.639,9.81
1.92,-8.081792000001926,18.8352,-18.8352,9.81
1.94,-8.46045800000193,19.0314,-19.0314,9.81
1.96,-8.84304800000193,19.2276,-19.2276,9.81
1.98,-9.229562000001934,19.4238,-19.4238,9.81
2,-9.620000000001935,19.62,-19.62,9.81
2.02,-10.01436200000194,19.8162,-19.8162,9.81
2.04,-10.41264800000194,20.0124,-20.0124,9.81
2.06,-10.81485800000194,20.2086,-20.2086,9.81
2.08,-11.22099200000194,20.4048,-20.4048,9.81
2.1,-11.63105000000195,20.601,-20.601,9.81
2.12,-12.04503200000195,20.7972,-20.7972,9.81
2.14,-12.46293800000195,20.9934,-20.9934,9.81
2.16,-12.88476800000195,21.1896,-21.1896,9.81
2.18,-13.31052200000195,21.3858,-21.3858,9.81
2.2,-13.74020000000196,21.582,-21.582,9.81
2.22,-14.17380200000196,21.7782,-21.7782,9.81
2.24,-14.61132800000196,21.9744,-21.9744,9.81
2.26,-15.05277800000195,22.1706,-22.1706,9.81
2.28,-15.49815200000195,22.3668,-22.3668,9.81
2.3,-15.94745000000196,22.563,-22.563,9.81
2.32,-16.40067200000196,22.7592,-22.7592,9.81
2.34,-16.85781800000196,22.9554,-22.9554,9.81
2.36,-17.31888800000196,23.1516,-23.1516,9.81
